,recipe_id,ing_id
648,1762.0,91
649,1577.0,91
650,3479.0,91
651,2767.0,92
652,2020.0,92
653,2972.0,92
654,3620.0,92
655,3584.0,92
656,848.0,92
657,1175.0,92
658,1854.0,92
659,3468.0,92
660,431.0,92
661,1900.0,92
662,3651.0,93
663,408.0,94
664,1486.0,95
665,2415.0,96
666,408.0,97
667,2436.0,98
668,1397.0,98
669,3479.0,98
670,3545.0,98
671,3582.0,98
672,2375.0,98
673,3055.0,98
674,3567.0,98
675,2789.0,98
677,1268.0,99
678,2377.0,99
679,1361.0,99
680,1307.0,99
681,2889.0,99
682,2789.0,99
683,2367.0,99
684,179.0,99
685,3396.0,99
686,1363.0,99
687,2383.0,100
688,91.0,101
689,1307.0,102
690,3124.0,103
691,3497.0,104
692,2692.0,105
694,3658.0,105
695,902.0,105
696,2197.0,106
697,2432.0,107
698,980.0,108
699,1251.0,108
700,980.0,108
701,3241.0,108
702,355.0,108
703,1892.0,108
704,3461.0,108
705,1658.0,108
706,980.0,108
707,3549.0,108
708,355.0,109
709,2702.0,110
710,1894.0,110
711,1280.0,111
712,3663.0,112
713,2808.0,113
714,3492.0,114
715,1757.0,114
716,1334.0,114
717,506.0,115
718,724.0,115
719,1797.0,115
720,2243.0,115
721,3669.0,115
722,1710.0,116
723,522.0,116
724,1697.0,117
725,828.0,117
726,2633.0,117
727,3518.0,117
728,3440.0,118
729,2819.0,118
730,3191.0,118
731,557.0,119
732,3076.0,119
733,1669.0,119
734,2417.0,120
735,994.0,120
736,2084.0,121
737,3045.0,121
738,97.0,121
739,3004.0,121
740,3078.0,121
741,590.0,121
742,959.0,121
743,3043.0,121
744,555.0,122
745,3492.0,122
746,183.0,122
747,3556.0,122
748,3484.0,122
749,572.0,122
750,176.0,122
751,3050.0,122
752,2737.0,122
753,557.0,122
754,3067.0,123
755,3510.0,123
756,3060.0,123
757,2676.0,123
758,1745.0,123
759,1868.0,123
760,2677.0,123
761,194.0,123
762,3687.0,123
763,3056.0,123
764,468.0,123
765,3523.0,124
766,2674.0,124
767,706.0,124
768,3640.0,124
769,2670.0,124
770,659.0,124
771,2960.0,124
772,974.0,124
773,2813.0,124
774,2126.0,125
775,3583.0,125
776,3620.0,125
777,3620.0,125
778,3064.0,126
779,874.0,126
780,3687.0,126
781,2411.0,126
782,110.0,126
783,645.0,126
784,1985.0,126
785,791.0,126
786,1931.0,126
787,2915.0,126
788,3601.0,126
789,3591.0,127
790,3563.0,128
791,2511.0,129
792,3182.0,129
